stock_code,date,time_point,volume_ratio,cumulative_volume,is_limit_up
688080.SH,20260313,09:35,1.8496143651949668,1291,False
601688.SH,20260313,09:35,2.6964069424136907,33940,False
600008.SH,20260313,09:35,2.829061165513718,70486,False
600467.SH,20260313,09:35,8.105391597398276,89069,False
688068.SH,20260313,09:35,3.716372376814274,1340,False
603777.SH,20260313,09:35,3.30620621328993,7592,False
600094.SH,20260313,09:35,8.374290683819602,30573,False
603318.SH,20260313,09:35,3.7955589213727574,74385,False
603703.SH,20260313,09:35,4.562591683689558,8320,False
605055.SH,20260313,09:35,0.0,0,False
600278.SH,20260313,09:35,0.0,0,False
600663.SH,20260313,09:35,8.073892196850911,13345,False
601949.SH,20260313,09:35,3.704487630829839,10720,False
600617.SH,20260313,09:35,3.7651192470212935,83405,False
603180.SH,20260313,09:35,0.0,0,False
688603.SH,20260313,09:35,9.142145713122801,6364,False
688218.SH,20260313,09:35,4.630004932871347,3246,False
603507.SH,20260313,09:35,16.719302989092053,69051,False
688677.SH,20260313,09:35,0.0,0,False
603168.SH,20260313,09:35,0.0,0,False
600789.SH,20260313,09:35,2.331285635460732,7922,False
600392.SH,20260313,09:35,1.7096163771914825,23200,False
688701.SH,20260313,09:35,0.0,0,False
601512.SH,20260313,09:35,0.0,0,False
601566.SH,20260313,09:35,0.0,0,False
688775.SH,20260313,09:35,2.7372814276462547,634,False
600761.SH,20260313,09:35,1.4349467546521626,8072,False
603082.SH,20260313,09:35,0.0,0,False
603499.SH,20260313,09:35,5.177769570203916,6659,False
603928.SH,20260313,09:35,0.0,0,False
688386.SH,20260313,09:35,3.256071513329642,1029,False
600715.SH,20260313,09:35,0.0,0,False
600698.SH,20260313,09:35,0.0,0,False
600283.SH,20260313,09:35,0.0,0,False
601018.SH,20260313,09:35,3.2104296803747734,36741,False
688610.SH,20260313,09:35,2.1089274549233656,520,False
603839.SH,20260313,09:35,0.0,0,False
688297.SH,20260313,09:35,2.193317066038909,11689,False
600604.SH,20260313,09:35,0.0,0,False
603193.SH,20260313,09:35,0.0,0,False
603588.SH,20260313,09:35,8.985161081964717,202635,False
601858.SH,20260313,09:35,8.866288446577995,38940,False
600369.SH,20260313,09:35,1.6443755533411104,12328,False
603091.SH,20260313,09:35,0.0,0,False
601186.SH,20260313,09:35,3.52058014771061,85589,False
688395.SH,20260313,09:35,0.0,0,False
600706.SH,20260313,09:35,0.0,0,False
603416.SH,20260313,09:35,0.0,0,False
600381.SH,20260313,09:35,0.0,0,False
688712.SH,20260313,09:35,5.299638989169675,4037,False
688309.SH,20260313,09:35,3.5662558979588312,3439,False
603079.SH,20260313,09:35,5.4790562815677735,4425,False
688766.SH,20260313,09:35,4.345068410084128,5195,False
688191.SH,20260313,09:35,2.388402722531601,2702,False
601799.SH,20260313,09:35,2.521181301907781,1256,False
600502.SH,20260313,09:35,5.984803838425073,34697,False
600119.SH,20260313,09:35,0.0,0,False
600576.SH,20260313,09:35,0.0,0,False
603666.SH,20260313,09:35,2.352028830143923,1289,False
688179.SH,20260313,09:35,4.424770202608547,12582,False
688562.SH,20260313,09:35,4.14628460844897,3928,False
603209.SH,20260313,09:35,2.413466186987123,4805,False
603612.SH,20260313,09:35,4.5349220840657685,21649,False
600185.SH,20260313,09:35,3.8805571720687873,18171,False
688516.SH,20260313,09:35,2.8413026048685626,8328,False
600959.SH,20260313,09:35,3.328278997047569,47915,False
601607.SH,20260313,09:35,2.418285378508137,4527,False
688488.SH,20260313,09:35,1.4596867448994044,2877,False
688093.SH,20260313,09:35,0.0,0,False
600400.SH,20260313,09:35,0.0,0,False
600234.SH,20260313,09:35,3.00342000347797,1943,False
603866.SH,20260313,09:35,3.7375871225927386,16749,False
603150.SH,20260313,09:35,4.531187276585171,2963,False
688220.SH,20260313,09:35,3.581443607854452,5379,False
601033.SH,20260313,09:35,1.927492670696061,3690,False
603124.SH,20260313,09:35,1.521603005635567,648,False
601999.SH,20260313,09:35,0.0,0,False
603052.SH,20260313,09:35,5.485545037310337,10742,False
688356.SH,20260313,09:35,3.837341628101055,843,False
603026.SH,20260313,09:35,11.016519548452855,35803,False
688322.SH,20260313,09:35,3.289866712389341,3038,False
688739.SH,20260313,09:35,2.7225244831338413,1251,False
600336.SH,20260313,09:35,3.8353215715464004,12710,False
600759.SH,20260313,09:35,5.013482673101675,861506,False
603639.SH,20260313,09:35,9.531182795698925,7202,False
603222.SH,20260313,09:35,0.0,0,False
688126.SH,20260313,09:35,2.530859895840593,13619,False
603256.SH,20260313,09:35,3.698913314873258,20555,False
605500.SH,20260313,09:35,0.0,0,False
688549.SH,20260313,09:35,5.115181527534756,24739,False
688152.SH,20260313,09:35,0.0,0,False
600132.SH,20260313,09:35,5.199698209109321,5456,False
600529.SH,20260313,09:35,5.212403199592083,5452,False
600030.SH,20260313,09:35,5.834896606701032,116381,False
603320.SH,20260313,09:35,0.0,0,False
600906.SH,20260313,09:35,2.227831081953044,9279,False
601658.SH,20260313,09:35,1.7110550027019142,53802,False
688050.SH,20260313,09:35,0.0,0,False
600155.SH,20260313,09:35,3.6353697352295478,20616,False
600121.SH,20260313,09:35,33.60361350512526,575822,True
603231.SH,20260313,09:35,0.0,0,False
600817.SH,20260313,09:35,0.0,0,False
605567.SH,20260313,09:35,0.0,0,False
688135.SH,20260313,09:35,3.4851446998837496,6633,False
601326.SH,20260313,09:35,4.143973002778723,30249,False
600863.SH,20260313,09:35,4.073256874876499,71374,False
605108.SH,20260313,09:35,0.0,0,False
688141.SH,20260313,09:35,5.204921595812342,14219,False
688037.SH,20260313,09:35,2.319902243584735,3093,False
603728.SH,20260313,09:35,2.34949380288011,2225,False
603333.SH,20260313,09:35,2.9806409258348623,9875,False
688458.SH,20260313,09:35,0.0,0,False
600961.SH,20260313,09:35,2.4895692748857323,11091,False
600057.SH,20260313,09:35,2.1339863303632423,9528,False
600023.SH,20260313,09:35,4.362753620440742,90129,False
600438.SH,20260313,09:35,7.718136294106214,148405,False
600989.SH,20260313,09:35,7.008498690568222,377294,False
688247.SH,20260313,09:35,0.0,0,False
603558.SH,20260313,09:35,65.0334261614889,67528,False
688233.SH,20260313,09:35,2.6884576098059245,2632,False
601020.SH,20260313,09:35,2.155189521730502,15747,False
688628.SH,20260313,09:35,0.0,0,False
603137.SH,20260313,09:35,0.0,0,False
