stock_code,open,prev_close,open_change_pct,volume,amount,auction_power,bidVol1,askVol1
301536.SZ,78.03,77.6,0.5541237113402151,106550,844622900,5.782438639261797,0,0
603067.SH,47.0,45.87,2.463483758447793,410300,1903587000,5.698384163333003,0,0
300461.SZ,56.99,55.95,1.858802502234136,80250,463469300,5.659208614520921,0,0
000692.SZ,4.05,4.05,0.0,289409,122060100,5.65623706748516,0,0
300322.SZ,28.35,28.32,0.10593220338983451,248883,705683600,5.651702794998543,0,0
002922.SZ,46.81,46.8,0.0213675213675323,204430,987744900,5.644951690441036,0,0
301505.SZ,24.85,24.85,0.0,40928,105027600,5.641163449268696,0,0
002961.SZ,25.31,24.71,2.428166734115734,255150,679060400,5.625492384816873,0,0
002196.SZ,15.33,15.31,0.13063357282821406,276815,421025200,5.624607102310949,0,0
000099.SZ,20.8,20.8,0.0,422874,906917500,5.620453895432092,0,0
688035.SH,70.22,69.45,1.1087113030957465,80125,560905400,5.6157407748554355,0,0
600549.SH,75.58,74.97,0.8136587968520734,871422,6576608900,5.599678894014726,0,0
000581.SZ,24.15,24.0,0.624999999999994,426191,1070267500,5.5824832230839405,0,0
300535.SZ,21.56,21.45,0.5128205128205102,41461,93938000,5.578404207013773,0,0
600825.SH,6.350000000000001,6.0,5.833333333333357,559585,367465700,5.538260797388766,0,0
300360.SZ,18.27,18.21,0.32948929159801604,272241,505774700,5.533607255027748,0,0
001236.SZ,9.8,9.8,0.0,399696,410020400,5.5190664521141795,0,0
301002.SZ,41.62,41.51,0.2649963864129112,46691,193966600,5.483801161082993,0,0
002910.SZ,11.61,11.56,0.4325259515570842,90278,108512900,5.463811803058804,0,0
688275.SH,94.64,93.41,1.3167755058344974,46417,436329000,5.449862434317857,0,0
300780.SZ,22.53,22.53,0.0,57688,131568800,5.430525208208289,0,0
002723.SZ,9.290000000000001,9.29,1.912117157589075e-14,167151,159321800,5.408097451138676,0,0
002706.SZ,11.54,11.52,0.1736111111111074,483582,568742700,5.386341361359266,0,0
601669.SH,5.76,5.75,0.17391304347825717,6854199,4051235000,5.380698610041935,0,0
603163.SH,113.79,112.0,1.5982142857142914,55641,611034400,5.369842692679497,0,0
002426.SZ,4.19,4.18,0.23923444976078173,1825604,764640000,5.3633002005537,0,0
688308.SH,79.97,78.4,2.0025510204081542,87099,679587900,5.352024247854478,0,0
002135.SZ,6.95,6.95,0.0,556360,387602400,5.342642695909875,0,0
000949.SZ,7.13,7.11,0.2812939521800221,852291,628633100,5.322684381421238,0,0
603879.SH,6.01,5.98,0.5016722408026648,182072,114366000,5.29555557497713,0,0
605060.SH,59.22,59.22,0.0,121523,749275800,5.295216442057404,0,0
300614.SZ,15.22,15.22,0.0,81052,129256400,5.2932561676969,0,0
603073.SH,20.08,20.0,0.39999999999999153,26021,53978000,5.281974807852306,0,0
300013.SZ,4.16,4.15,0.2409638554216816,231756,97032800,5.230314620348519,0,0
301121.SZ,40.0,40.0,0.0,25861,105468900,5.211774901474833,0,0
