排名,股票代码,最新价,昨收价,涨跌幅(%),竞价量,竞价额,买盘,卖盘,时间
3077,600748.SH,5.47,5.47,0.00,198,108300.00,245,1824,09:26:17
3078,000677.SZ,4.06,4.06,0.00,198,80400.00,3635,4002,09:26:17
3079,688582.SH,64.51,65.04,-0.81,197,1272800.00,192,71,09:26:16
3080,301246.SZ,21.44,21.43,0.05,197,422400.00,92,84,09:26:17
3081,605180.SH,16.3,16.38,-0.49,197,321100.00,230,90,09:26:16
3082,002330.SZ,5.32,5.33,-0.19,197,104800.00,1211,1598,09:26:17
3083,002748.SZ,12.76,12.7,0.47,196,250100.00,133,763,09:26:17
3084,300260.SZ,53.13,53.38,-0.47,195,1036000.00,28,24,09:26:17
3085,600480.SH,11.76,11.81,-0.42,195,229300.00,1716,877,09:26:17
3086,600697.SH,14.07,14.08,-0.07,195,274400.00,99,203,09:26:17
3087,605196.SH,45.02,44.68,0.76,195,877900.00,39,52,09:26:17
3088,688772.SH,18.89,18.9,-0.05,195,367900.00,352,293,09:26:16
3089,002243.SZ,10.8,10.82,-0.18,195,210600.00,747,133,09:26:17
3090,002098.SZ,10.18,10.23,-0.49,195,198500.00,306,541,09:26:17
3091,000055.SZ,4.05,4.04,0.25,194,78600.00,5093,2449,09:26:17
3092,600212.SH,7.8,7.79,0.13,194,151300.00,993,763,09:26:16
3093,300769.SZ,40.77,40.69,0.20,194,790900.00,101,237,09:26:17
3094,002128.SZ,28.6,28.8,-0.69,194,554800.00,37,74,09:26:17
3095,300143.SZ,11.55,11.54,0.09,194,224100.00,135,257,09:26:17
3096,301519.SZ,15.25,15.23,0.13,194,295900.00,193,45,09:26:17
3097,600141.SH,37.76,37.75,0.03,194,730900.00,45,141,09:26:16
3098,600388.SH,18.54,18.48,0.32,194,359700.00,46,268,09:26:17
3099,300004.SZ,13.99,14.02,-0.21,194,271400.00,409,304,09:26:17
3100,002708.SZ,13.82,13.89,-0.50,194,268100.00,549,134,09:26:17
3101,002913.SZ,40,40.2,-0.50,193,772000.00,45,46,09:26:17
3102,603833.SH,60.89,60.56,0.54,193,1175200.00,56,195,09:26:16
3103,688180.SH,35.55,35.72,-0.48,193,687400.00,329,61,09:26:17
3104,300727.SZ,35.31,35.16,0.43,193,681500.00,49,41,09:26:17
3105,002846.SZ,15.73,15.73,0.00,193,303600.00,120,140,09:26:17
3106,603321.SH,8.11,8.06,0.62,193,156500.00,282,283,09:26:16
3107,301363.SZ,31.62,31.73,-0.35,193,610300.00,31,159,09:26:17
3108,300598.SZ,44.51,44.71,-0.45,192,854600.00,49,15,09:26:17
3109,601577.SH,10.05,10.05,0.00,192,193000.00,4503,2479,09:26:17
3110,301126.SZ,12.64,12.55,0.72,192,242700.00,152,399,09:26:17
3111,000958.SZ,6.46,6.45,0.16,192,124000.00,2217,2906,09:26:17
3112,300205.SZ,4.77,4.78,-0.21,192,91600.00,515,302,09:26:17
3113,300726.SZ,48.74,48.99,-0.51,192,935800.00,50,37,09:26:17
3114,301331.SZ,30.08,29.98,0.33,192,577500.00,55,32,09:26:17
3115,600854.SH,5.43,5.41,0.37,192,104300.00,463,2563,09:26:17
3116,688321.SH,31.6,31.76,-0.50,192,607400.00,343,38,09:26:17
3117,300033.SZ,348.78,349.59,-0.23,191,6661700.00,21,19,09:26:17
3118,603150.SH,57.8,57.8,0.00,191,1104000.00,612,14,09:26:16
3119,603020.SH,11.03,11.03,0.00,191,210700.00,297,408,09:26:16
3120,603518.SH,10.28,10.24,0.39,191,196300.00,192,1087,09:26:16
3121,300542.SZ,18.85,18.75,0.53,191,360000.00,176,450,09:26:17
3122,300875.SZ,42.18,41.96,0.52,191,805600.00,36,43,09:26:17
3123,688107.SH,29,29.03,-0.10,191,552500.00,68,25,09:26:16
3124,002096.SZ,14.03,14.12,-0.64,191,268000.00,332,156,09:26:17
3125,001215.SZ,42.02,41.89,0.31,191,802600.00,1134,185,09:26:17
3126,600939.SH,3.23,3.23,0.00,190,61400.00,3912,5100,09:26:16
3127,300843.SZ,57.85,58.14,-0.50,190,1099200.00,40,46,09:26:17
3128,600639.SH,10.77,10.78,-0.09,190,204600.00,843,344,09:26:17
3129,688122.SH,83.63,83.68,-0.06,190,1592100.00,18,56,09:26:17
3130,002423.SZ,11.02,11.03,-0.09,190,209400.00,864,470,09:26:17
3131,603558.SH,12.38,12.38,0.00,190,235200.00,747,222,09:26:16
3132,688693.SH,40.19,39.96,0.58,190,764900.00,135,36,09:26:16
3133,688653.SH,13.88,13.78,0.73,189,262500.00,300,288,09:26:17
3134,301192.SZ,33.52,33.36,0.48,189,633500.00,60,74,09:26:17
3135,002043.SZ,17.53,17.45,0.46,189,331300.00,161,172,09:26:17
3136,000721.SZ,9.1,9.12,-0.22,189,172000.00,1184,800,09:26:17
3137,605337.SH,12.6,12.6,0.00,188,237300.00,193,238,09:26:17
3138,603330.SH,7.72,7.72,0.00,188,145100.00,251,343,09:26:17
3139,300882.SZ,22,22.11,-0.50,187,411400.00,98,86,09:26:17
3140,300996.SZ,17.67,17.56,0.63,187,330400.00,216,300,09:26:17
3141,605016.SH,24.71,24.92,-0.84,187,462100.00,128,40,09:26:17
3142,600739.SH,12.14,12.12,0.17,187,227000.00,287,384,09:26:16
3143,600468.SH,7.36,7.37,-0.14,187,137600.00,970,1155,09:26:17
3144,600955.SH,19.64,19.83,-0.96,187,367300.00,38,58,09:26:16
3145,002616.SZ,5.82,5.8,0.34,186,108300.00,1541,1991,09:26:17
3146,301611.SZ,128,128.95,-0.74,186,2380800.00,59,14,09:26:17
3147,300872.SZ,17.95,17.95,0.00,186,333900.00,227,154,09:26:17
3148,688125.SH,177.89,182.47,-2.51,186,3301600.00,222,34,09:26:17
3149,605567.SH,12.02,11.98,0.33,186,223600.00,212,469,09:26:16
3150,603333.SH,8.07,8.07,0.00,186,150100.00,1299,593,09:26:16
3151,603848.SH,18.14,18.14,0.00,186,337400.00,48,125,09:26:17
3152,001231.SZ,25.18,25.15,0.12,186,468300.00,539,58,09:26:17
3153,301090.SZ,7.7,7.7,0.00,186,143200.00,688,265,09:26:17
3154,688081.SH,43.21,43.31,-0.23,186,801900.00,40,34,09:26:16
3155,688636.SH,47.46,47.25,0.44,185,878600.00,47,28,09:26:16
3156,300048.SZ,6.96,7,-0.57,185,128800.00,1643,729,09:26:17
3157,688099.SH,81.69,81.5,0.23,185,1509300.00,67,47,09:26:16
3158,300119.SZ,19.29,19.22,0.36,185,356900.00,143,352,09:26:17
3159,300730.SZ,13.65,13.62,0.22,185,252500.00,670,104,09:26:17
3160,600332.SH,25.47,25.49,-0.08,185,471200.00,529,125,09:26:17
3161,301588.SZ,25.81,25.94,-0.50,185,477500.00,35,339,09:26:17
3162,603605.SH,75.55,75.51,0.05,185,1397700.00,24,26,09:26:17
3163,301366.SZ,36.47,36.21,0.72,185,674700.00,22,58,09:26:17
3164,688335.SH,38.9,39.47,-1.44,185,721000.00,178,213,09:26:17
3165,600333.SH,5.7,5.69,0.18,184,104900.00,459,1826,09:26:17
3166,300250.SZ,25.27,25.29,-0.08,184,465000.00,14,398,09:26:17
3167,002045.SZ,13.95,13.98,-0.21,184,256700.00,455,75,09:26:17
