stock,fri_atr_ratio,fri_vol_ratio,fri_amt_ratio,fri_change,mon_atr_ratio,mon_vol_ratio,mon_amt_ratio,mon_change,has_fri_signal,is_mon_breakout,prepos_signal
002613.SZ,0.524,0.552,0.567,0.48,1.077,0.896,0.899,-2.64,False,False,False
300424.SZ,0.579,0.908,0.941,-0.05,0.848,1.147,1.176,-1.32,False,False,False
002667.SZ,0.983,0.787,0.825,5.15,1.217,0.717,0.82,9.99,False,False,False
300450.SZ,0.319,0.462,0.431,-0.51,0.756,0.729,0.664,-2.77,False,False,False
002294.SZ,1.406,1.126,1.115,2.14,1.017,0.884,0.881,-0.63,True,False,False
300909.SZ,3.433,5.286,5.933,11.69,2.943,4.581,4.955,-11.54,True,False,False
301238.SZ,0.63,0.839,0.843,0.85,1.274,1.194,1.172,-3.54,False,False,False
000798.SZ,0.529,0.828,0.846,-0.75,0.823,0.72,0.721,-2.43,False,False,False
000615.SZ,0.869,0.887,0.899,-1.22,0.546,1.009,1.011,-0.62,False,False,False
300535.SZ,0.684,0.896,0.949,-2.01,1.555,1.36,1.417,-3.03,False,False,False
300884.SZ,0.768,0.981,0.996,1.4,1.974,1.533,1.496,-5.69,False,False,False
002319.SZ,0.644,0.509,0.521,1.67,1.08,0.681,0.694,-1.51,False,False,False
002702.SZ,0.553,0.482,0.445,1.55,0.606,0.522,0.472,-3.66,False,False,False
000661.SZ,1.324,2.183,2.18,-2.77,1.167,1.775,1.712,-4.01,True,False,False
300541.SZ,1.166,1.308,1.357,1.89,1.437,1.299,1.3,-4.24,False,False,False
301329.SZ,0.633,0.813,0.817,-0.27,1.732,0.904,0.887,-4.55,False,False,False
002385.SZ,0.386,0.41,0.393,0.5,1.229,1.067,1.039,1.98,False,False,False
300818.SZ,0.823,0.647,0.64,4.98,0.533,0.514,0.501,-3.68,False,False,False
002287.SZ,0.36,0.475,0.474,-0.28,2.009,2.643,2.725,1.99,False,False,False
301630.SZ,3.22,5.676,6.808,0.33,1.795,3.419,3.976,-2.71,True,False,False
300986.SZ,0.778,0.766,0.633,1.51,0.515,0.624,0.496,-2.05,False,False,False
002600.SZ,0.472,0.73,0.737,-0.97,0.724,1.09,1.073,-2.21,False,False,False
000717.SZ,0.75,1.109,1.161,1.46,0.964,1.376,1.432,0.0,False,False,False
300437.SZ,0.886,2.62,2.99,-3.83,1.213,1.927,2.154,-4.81,False,False,False
002674.SZ,0.96,1.064,1.06,2.27,1.539,1.344,1.298,-2.99,False,False,False
300058.SZ,0.637,0.608,0.541,2.95,0.606,0.685,0.583,-5.95,False,False,False
300443.SZ,0.666,0.823,0.823,0.95,1.167,1.048,1.057,-0.52,False,False,False
002083.SZ,1.51,0.94,0.934,2.19,0.753,0.734,0.715,-2.23,True,False,False
002498.SZ,0.575,1.226,1.624,-1.43,0.826,1.004,1.307,-3.27,False,False,False
002929.SZ,1.292,1.093,1.134,1.8,0.585,0.846,0.852,-2.82,True,False,False
002470.SZ,1.465,7.354,10.729,9.93,4.291,6.859,10.221,-6.13,True,False,False
000567.SZ,0.975,0.972,0.955,1.57,1.168,1.349,1.303,-2.58,False,False,False
300647.SZ,0.87,0.845,0.855,0.28,1.644,1.088,1.072,-4.13,False,False,False
002404.SZ,0.319,0.565,0.557,-0.14,1.446,1.189,1.131,-4.42,False,False,False
000513.SZ,0.478,0.491,0.49,0.17,1.316,1.416,1.389,-2.09,False,False,False
