code,name,date,label,success,sustain_score,env_score,is_true_breakout,confidence,pnl_pct,max_drawdown,data_source,sustain_duration
601138,工业富联,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300300,海峡创新,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300300,海峡创新,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300300,海峡创新,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000559,万向钱潮,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000559,万向钱潮,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000559,万向钱潮,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300604,长川科技,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300604,长川科技,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300604,长川科技,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000681,视觉中国,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000681,视觉中国,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000681,视觉中国,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300394,天孚通信,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300394,天孚通信,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300394,天孚通信,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002009,天奇股份,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002009,天奇股份,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002009,天奇股份,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600589,大位科技,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600589,大位科技,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600589,大位科技,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300418,昆仑万维,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300418,昆仑万维,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300418,昆仑万维,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300502,新易盛,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300502,新易盛,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300502,新易盛,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300620,光库科技,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300620,光库科技,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300620,光库科技,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000859,国风新材,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000859,国风新材,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000859,国风新材,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301232,飞沃科技,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301232,飞沃科技,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301232,飞沃科技,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603986,兆易创新,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603986,兆易创新,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603986,兆易创新,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
001270,*ST铖昌,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
001270,*ST铖昌,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
001270,*ST铖昌,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300503,昊志机电,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300503,昊志机电,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300503,昊志机电,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300476,胜宏科技,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300476,胜宏科技,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300476,胜宏科技,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300223,北京君正,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300223,北京君正,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300223,北京君正,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300377,赢时胜,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300377,赢时胜,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300377,赢时胜,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000070,特发信息,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000070,特发信息,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000070,特发信息,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
