code,name,price,change_pct,sector,limit_up_days,first_time,last_time,open_count,date,source,m,amount,ltsz,tshare,hs,lbc,fbt,lbt,fund,zbc,limit_up_count
2506,协鑫集成,4.16,10.05290985107422,光伏设备,2,93033.0,100957.0,6.0,20260205,akshare_em,,,,,,,,,,,
600683,京投发展,6.6,10.0,房地产开,3,93212.0,95024.0,3.0,20260205,akshare_em,,,,,,,,,,,
601599,浙文影业,4.9,10.112359046936035,纺织制造,1,93224.0,93224.0,0.0,20260205,akshare_em,,,,,,,,,,,
603103,横店影视,31.66,10.006949424743652,影视院线,1,93607.0,94216.0,2.0,20260205,akshare_em,,,,,,,,,,,
603826,坤彩科技,19.46,10.005653381347656,非金属材,2,93615.0,93615.0,0.0,20260205,akshare_em,,,,,,,,,,,
600382,广东明珠,9.67,10.01137638092041,冶钢原料,1,93658.0,143525.0,1.0,20260205,akshare_em,,,,,,,,,,,
592,平潭发展,11.83,10.04651165008545,林业Ⅱ,1,93721.0,93721.0,0.0,20260205,akshare_em,,,,,,,,,,,
56,皇庭国际,2.07,10.106383323669434,房地产服,1,94039.0,112736.0,4.0,20260205,akshare_em,,,,,,,,,,,
600156,华升股份,9.03,9.98781967163086,纺织制造,1,94703.0,94703.0,0.0,20260205,akshare_em,,,,,,,,,,,
2355,兴民智通,7.48,10.0,汽车零部,2,94930.0,94930.0,0.0,20260205,akshare_em,,,,,,,,,,,
3018,金富科技,18.67,10.017678260803224,包装印刷,1,95051.0,95051.0,0.0,20260205,akshare_em,,,,,,,,,,,
600814,杭州解百,9.8,9.988776206970217,一般零售,2,95136.0,95136.0,0.0,20260205,akshare_em,,,,,,,,,,,
600084,中信尼雅,7.72,9.97150993347168,非白酒,1,95222.0,95222.0,0.0,20260205,akshare_em,,,,,,,,,,,
603630,拉芳家化,21.33,10.005157470703123,化妆品,1,95346.0,95346.0,0.0,20260205,akshare_em,,,,,,,,,,,
